WARNING 2025-05-14 03:41:25,353 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.ico HTTP/1.1" 404 179
INFO 2025-05-14 03:41:26,708 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:26,743 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:26,746 log Not Found: /static/img/Логотип.png
WARNING 2025-05-14 03:41:26,747 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:26,747 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:26,748 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:26,749 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:26,764 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:26,766 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:26,797 log Not Found: /static/img/Логотип.ico
WARNING 2025-05-14 03:41:26,798 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.ico HTTP/1.1" 404 179
INFO 2025-05-14 03:41:27,069 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:27,109 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:27,111 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:27,112 log Not Found: /static/img/Логотип.png
WARNING 2025-05-14 03:41:27,112 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,112 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,113 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,125 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:27,125 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,163 log Not Found: /static/img/Логотип.ico
WARNING 2025-05-14 03:41:27,165 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.ico HTTP/1.1" 404 179
INFO 2025-05-14 03:41:27,376 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:27,409 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:27,411 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:27,412 log Not Found: /static/img/Логотип.png
WARNING 2025-05-14 03:41:27,413 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,413 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,413 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,425 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:27,426 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,462 log Not Found: /static/img/Логотип.ico
WARNING 2025-05-14 03:41:27,463 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.ico HTTP/1.1" 404 179
INFO 2025-05-14 03:41:27,596 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:27,626 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:27,628 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:27,629 log Not Found: /static/img/Логотип.png
WARNING 2025-05-14 03:41:27,629 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,630 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,630 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,646 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:27,649 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,687 log Not Found: /static/img/Логотип.ico
WARNING 2025-05-14 03:41:27,688 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.ico HTTP/1.1" 404 179
INFO 2025-05-14 03:41:27,807 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:27,839 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:27,840 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:27,841 log Not Found: /static/img/Логотип.png
WARNING 2025-05-14 03:41:27,841 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,841 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,842 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,856 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:27,857 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:27,885 log Not Found: /static/img/Логотип.ico
